,q0,qa,label,qa_encode,q0_encode
200842,有什么好看的爱情动作片,现在有什么好看的动作片吗,1,214626,158792
200843,按摩椅什么牌子好,什么牌子的按摩椅好,1,215032,18116
200844,怎么样找在家做淘宝客服的工作,在家带宝宝想找份淘宝客服工作,1,38447,42013
200845,戴尔笔记本怎么样！,戴尔笔记本怎样？,1,108941,29789
200846,十全大补猜什么生肖,十全大补，指什么生肖？,1,76583,54272
200847,最荒凉的地方(打一成语)。,最荒凉的地方打一成语,1,8782,172930
200849,怎么弄认证空间,空间认证怎么弄,1,204355,244692
200853,“小白”是什么意思？,“小白”什么意思,1,171864,75494
200854,截取视频背景音乐、,截取视频的背景音乐,1,17960,150961
200855,皮带什么牌子好啊,皮带什么牌子好的呢,1,125084,108972
200857,耐克鞋子怎么样,乐淘耐克鞋子怎么样？贵不？,1,70753,173841
200861,怎样容易怀孕,怎么样才容易怀孕,1,131530,40115
200862,这是什么植物？谢谢了,这是什么植物，谢谢了~,1,195513,115977
200864,图片中的女人是谁啊？,请问图片中的美女是谁,1,114964,58135
200865,诺亚传说好玩吗,诺亚传说好玩么？,1,187681,102005
200870,意大利的首都在哪里？,意大利的首都是那里,1,157674,118087
200872,欲钱买无精打采的动物是什么生肖,无精打采的动物是什么生肖,1,65723,203653
200875,黑巧克力的好处,巧克力的好处,1,2979,205475
200876,实习生找工作,实习生怎么找工作,1,153396,168918
200878,鲤鱼要怎么做才好吃,鲤鱼怎么炒好吃,1,76737,160014
200879,春节回家过年给父母带什么礼物好呢？,过年回家送什么礼物给父母好啊？,1,38137,144911
200885,我的世界联机,我的世界要怎么联机,1,8007,158959
200886,日用品毛巾哪个牌子好,哪个牌子的竹炭毛巾好,1,39286,3141
200888,亲，这是什么？谢谢,这是什么要快啊，谢谢了,1,123685,150688
200889,张翰和赵丽颖什么关系,张翰和赵丽颖是什么关系,1,39509,137899
200890,得了淋病怎么治疗,我的淋病该怎么治疗,1,161268,129114
200891,这个(图)玩具是什么？,这个玩具叫什么,1,61520,189356
200894,汪峰离婚的吗是真,汪峰离婚了吗,1,210790,70466
200895,吃什么可以通便,吃什么对通便好,1,105266,105611
200898,有什么好方法治疗湿疹,治疗湿疹大家有没有什么好的办法,1,82423,153875
200900,小米手机一部大概多少钱,一部小米手机多少钱？,1,32623,139766
200901,姐姐的孩子管我叫什么,姐姐生的孩子叫我什么,1,66341,212789
200906,无聊的时候干什么,无聊的时候要干什么,1,188053,231023
200910,手机天气预报软件那个好,手机有哪些天气预报软件,1,168589,87269
200912,如何让腿变得又细又长,怎样让自己的腿变得又长又细又直,1,111409,105463
200914,求个微信福利群二维码,来个微信福利二维码,1,109526,196765
200916,芦荟有什么用？,芦荟吃有什么用,1,95739,117828
200918,告诉我这首歌的名字！,这首歌的名字告诉我,1,172650,53984
200919,香蕉怎么做好吃,怎样做香蕉好吃,1,102496,59044
200920,怎样给我儿子取名字,帮我儿子取名字，姓曾,1,115768,239590
200921,微信号能修改吗？,微信号可以修改吗,1,198226,2185
200922,国画四君子指,国画里的四君子是指,1,58689,63559
200923,护肤品过期还能用吗,护肤品过期了还能再用吗,1,236693,223026
200924,小米和苹果比哪个好,小米和苹果哪个好？,1,6355,208236
200925,风暴战区为什么玩不了？,为什么风暴战区玩不了？,1,112794,105314
200926,这个平板电脑怎么样，酷比魔方,酷比魔方平板电脑怎么样,1,110432,106537
200927,怎么样学好物理,怎么样才能学好物理,1,242466,81003
200928,火车票怎么在网上改签,火车票网上改签怎么改,1,187131,177583
200929,查看不到哦,查看不到,1,60633,226038
200931,这个兔子叫什么名字？,这个兔子的名字,1,141239,38599
200933,我是男生怎样才能让自己变得有气质一点。,怎样才能让自己变得看起来比较有气质,1,226594,57873
200937,一只蜜蜂停在日历上，打一成语,蜜蜂停在日历上，打一成语,1,172228,235919
200938,世界上最大的土豆长在那里呀,世界一最大的土豆长在哪里,1,238307,170868
200939,河南算北方还是南方,河南是南方还是北方？,1,120522,241213
200941,银行卡里的零钱怎么拿出来,用银行卡怎么取零钱,1,66232,44945
200945,求一部电影，关于狼人的,求一部关于狼人的电影名。,1,106266,103214
200950,微信公众平台如何盈利,我是怎么在微信公众平台上盈利的,1,139420,14989
200962,推荐好看的玄幻小说·,好看的玄幻小说推荐,1,226546,70844
200963,微信怎么群发呢？,微信怎么群发啊,1,78300,42922
200968,在哪里下载时空猎人QQ版,时空猎人哪里下载腾讯版的,1,80071,29243
200971,一部国外的电影!,有一部电影国外的,1,90927,146515
200972,江苏移动卡怎么刷流量？,江苏移动怎么领流量,1,29231,42201
200973,怎样在天猫上开网店,怎么才能在天猫开网店,1,9404,110975
200975,广州有什么公园好玩,广州有什么好玩的公园？,1,72493,137548
200976,怎么能让眉毛变浓,怎样使眉毛变浓,1,56243,142743
200977,用手机看电影用什么播放器最好,手机看电影用什么播放器最好用？,1,2618,88439
200978,什么字是全世界通用？,什么字全世界通用？给力的加分哦,1,68857,47666
200979,牧猪奴戏指什么生肖,牧猪奴戏是解什么生肖,1,4824,112778
200980,2015年新版人民币什么时候发行,新版100元人民币什么时候发行,1,52326,222111
200986,这个是那个动画片的人物？,这个是哪个动画片的人物啊,1,166301,152150
200987,百度文库是什么？,百度文库都有什么？,1,592,54651
200989,怎样退出有缘网,我想退出有缘网怎么退？,1,193459,56501
200990,什么手机游戏可以赚钱,有什么手机游戏能赚钱,1,99356,21889
200996,计算机程序设计的艺术,计算机程序设计艺术,1,47216,57004
200997,免费给女宝宝取名,免费给宝宝取名网,1,227802,136844
200998,放松的音乐,小苹果筷子兄弟的空间音乐链接,1,9631,224134
201000,天天酷跑为什么登不进去？,天天酷跑为什么登录不进去,1,6161,162744
201003,军事网站最好的是那个,哪个军事网站最好,1,227364,8517
201008,谁知道这部电影的名字？,有谁知道这部电影名字,1,99451,37104
201013,你最珍贵的东西是什么,什么东西最珍贵,1,75701,228156
201014,姐姐结婚弟弟应该送什么礼物给她？,我的好姐姐结婚弟弟送什么礼物好,1,115299,109941
201017,吃螃蟹不能吃什么水果？,吃螃蟹后不能吃什么水果,1,123025,94642
201021,电脑显卡问题,关于电脑显卡问题,1,68664,42419
201023,金毛起什么名字,金毛叫什么名字,1,130404,4
201024,身上的静电如何去除,怎么去除人身上的静电,1,157063,171208
201025,金鱼爱吃什么。,金鱼吃什么,1,4999,54538
201026,老公那方面不行我该怎么办,上火了怎么办老公在那方面不行怎么办,1,206473,125835
201028,为什么微信加不了好友,本人女，为什么微信加不了好友呢,1,122273,161520
201031,谁有斗罗大陆死神传说,谁有斗罗大陆之死神传说的包,1,129173,115168
201033,手机上的游戏什么最好玩？,手机有啥好玩的，除了游戏,1,211150,21487
201034,七色指的是什么,七色是指什么,1,60930,106650
201035,你喜欢杨幂还是郑爽,喜欢杨幂还是郑爽？,1,72855,13520
201036,一张身份证能买到两张火车票吗,一张身份证可以买两张火车票不？,1,191541,228085
201038,失去的东西还能回来吗？,失去的东西可以在回来吗？,1,65127,207328
201039,我想知道这个美女模特是谁,谁知道这个美女是哪个模特？,1,89024,103963
201040,柠檬怎么吃减肥。,柠檬怎么喝减肥,1,77250,52398
201041,关于泰拳的电影有哪些好看的,有哪些好看的泰拳电影？,1,111024,199124
201042,怎么制作大头贴,酷我大头贴怎么制作,1,6901,104761
201043,如何做到清心寡欲,如何才能做到清心寡欲？,1,120980,216721
201047,月经第一次来是什么颜色,第一次来的月经是什么颜色的？,1,59191,174323
201048,怎样可以快点发财？,怎样快点发财,1,74292,76350
201051,豆浆鸡蛋能一起吃吗,鸡蛋能和豆浆一起吃吗,1,39850,35039
201052,丰胸精油哪个好,什么样的丰胸精油好,1,120310,213993
201053,这样的配置能玩我的世界光影吗,我这配置可以用我的世界光影吗？,1,104939,128751
201055,余额宝转支付宝怎么转,手机余额宝怎么转到支付宝,1,243010,92615
201057,劳力士手表的型号是看哪里的,劳力士手表的型号哪里看,1,17814,17463
201058,胡天胡帝指的是什么生肖,胡天胡帝形容什么生肖特写,1,151176,89795
201059,谁介绍几个好看的电影给我,谁能给我推荐个好看的电影,1,245528,75805
201060,移动如何网上交话费,网上怎么交话费移动的,1,34112,89896
201069,大连哪里拍婚纱照好点？,大连哪里拍婚纱照比较好,1,65493,208100
201072,赛尔号暗黑第七门怎么打,赛尔号怎么进暗黑武斗场第七门,1,107429,19372
201073,怎么让会说话的汤姆猫说话,会说话的汤姆猫怎么让他说话,1,220646,118134
201074,可以联机的手机游戏有那些？,什么手机游戏可以联机,1,21540,58412
201076,中国哪年能举办世界杯,中国什么时候可以举办世界杯,1,35198,139017
201077,会长是女仆大人漫画全集,会长女仆大人漫画全集,1,143850,46950
201079,你永远不懂我伤悲。,你永远不懂我不伤悲,1,140888,115760
201081,牙疼上火咋办,上火牙疼咋办,1,212650,183287
201082,请问这种鱼叫什么名字,谁能告诉我这鱼叫什么名字,1,26893,173967
201084,此图片来自哪部动漫,这个图片是哪部动漫啊,1,171097,129910
201086,手绘的可爱的图片,可爱手绘图片,1,208391,233559
201087,我的世界有人玩吗,有人玩我的世界么,1,173702,49748
201090,电脑能上微信吗,能用电脑上微信吗,1,75141,30204
201091,脸过敏可以用什么护肤品,什么护肤品用了不过敏,1,80010,65499
201096,还有什么东西是绿色的？,什么东西是绿色的,1,188997,137240
201097,木字加一笔都有什么字,木字加一笔可以成什么字,1,107634,220698
201098,外国人穿秋裤么？,外国人穿秋裤吗,1,2272,77068
201100,世界最大的海是什么海啊？,世界上最大的海是什么海？,1,179963,39481
201101,多玩魔盒的问题,有关多玩魔盒的问题,1,139350,187637
201102,用什么播放器可以缓存海贼王,什么播放器能缓存海贼王,1,96142,12636
201103,小米手机怎么查出厂日期,小米手机出厂日期怎么查,1,240763,68753
201104,吃什么对通便好,吃什么可以通便。,1,105611,105266
201107,结婚穿什么衣服呀,结婚都是穿什么衣服？,1,172920,83327
201108,北京今天的雨什么时候可以停,北京今天的雨什么时候能停,1,147747,194950
201110,孕妇可以吃海参吗？,孕妇能吃海参么,1,198136,245837
201111,微信怎么无限捞瓶子啊,微信怎么无限捞瓶子？,1,47599,308
201112,这个发型叫什么名字？,这个发型叫什么名字啊？,1,230445,38776
201113,胸口中间闷疼是怎么回事,累的时候胸口中间闷疼是怎么回事,1,141844,89428
201114,幸福爱人的结局是什么？,幸福爱人大结局什么时候播,1,47861,17724
201115,染发剂哪个牌子的比较好,哪个牌子的染发剂比较好,1,115785,202
201116,机械工程测试技术基础答案,机械工程测试技术基础课后答案,1,6311,172722
201117,股票上的问题,有关股票的问题。,1,143949,72444
201119,为什么天空是蓝色，,天空为什么是蓝色？,1,43623,13239
201122,这歌叫什么名字,这歌的名字叫什么？,1,80216,46087
201126,求耽美小说！,求耽美~球耽美~,1,226042,60100
201128,贴吧登陆不了,贴吧登录不了怎么办,1,238144,46463
201129,什么书书店买不到？,什么书在书店里买不到,1,7996,27589
201130,在网上能找工作吗,我想在网上找工作,1,155091,97714
201133,公交卡充值点,为公交卡充值,1,45070,79506
201138,男生长脸适合剪什么发型,长脸男生适合剪什么发型,1,23927,235780
201142,在游民星空怎么下载游戏？,游民星空怎么下载游戏？,1,83803,170625
201143,双色球怎么买中奖率高一点,双色球复式怎么买中奖率高,1,234756,165609
201146,手机突然不能上网了，什么原因？,我的苹果4手机突然连不上网是什么原因,1,55517,42387
201147,小字加一笔是什么,小字加一笔念什么？,1,151090,159345
201148,上海的电脑城在哪里呢？,上海的电脑城在哪里,1,114485,182559
201149,春节的习俗和春节的来历,春节的来历、春节习俗。,1,30683,92339
201150,在学校附近开什么店好,在学校附近开个什么店好呢,1,185868,207261
201151,英雄联盟天赋。,英雄联盟熊天赋,1,141843,162942
201155,防不胜防是什么意思？,防不胜防什么意思,1,126709,223696
201156,请问这是什么动物,请问我是什么动物,1,101810,56404
201158,怎样搭配衣服好看,衣服怎样搭配好看,1,141903,38048
201159,西瓜怎么吃啊,西瓜怎么吃,1,120836,12610
201161,如何去除鼻子上的黑头？,怎么去除鼻子上的黑头？,1,41213,197210
201163,古代穿越的小说,寻古代穿越小说,1,227008,99333
201164,请问火龙果有什么营养价值,火龙果有什么营养价值,1,193691,67806
201167,帮我看看这个是什么字体,看看这个是什么字体？,1,214688,174209
201170,麻烦您接收一下邮件根据邮件的具体内容操作的,麻烦您接收一下邮件根据邮件的具体内容操作一下的,1,179526,172132
201171,平板电视哪个牌子的比较好,平板电视哪个牌子比较好哦？,1,60005,32759
201174,赶集网的简历,赶集网挂简历,1,9458,100205
201175,有什么电影好看的推荐一下。,有什么好看的电影啊，推荐一下,1,83422,140397
201176,女生如何长高},女生破了处怎么样才能长高,1,224585,209142
201177,天猫怎么投诉卖家,天猫如何投诉卖家,1,154405,35270
201178,六一儿童节送孩子什么礼物？,六一儿童节给孩子送什么礼物呢,1,120469,186807
201179,长方形面积的计算是什么,长方形的面积公式是什么,1,194850,73564
201180,青少年补钙吃什么钙片好？,青少年吃什么钙片补钙效果好,1,224158,242737
201186,华为手机好不好,华为的手机好不好,1,57866,10464
201187,哪些日本电影好看,好看的日本电影,1,234271,130550
201188,广州哪里批发手表,广州哪里有批发手表,1,180422,192860
201189,当一个男人爱你的时候有什么表现,一个男人爱你的表现是什么样,1,211103,27548
201191,中国女明星谁最漂亮,中国的女明星谁最漂亮？,1,205439,82771
201195,什么鬼片最好看,有什么好看的猛鬼片吗,1,30814,78059
201200,天天酷跑轩哥破解版怎么下载,怎样下载轩哥破解版天天酷跑,1,125782,125702
201201,宁波港明天走势怎么样？,宁波港明天走势如何,1,193302,16405
201203,人死后为什么变得冰凉,人死后，为什么身体变得冰凉,1,35131,64401
201206,在家带孩子怎做什么工作,一个人在家带孩子做什么工作？,1,106549,178924
201207,怎么做好微商,怎样能把微商做好,1,221323,34704
201209,苹果手机用什么看小说,苹果手机用什么看小说好？,1,109700,30546
201210,白银价格走势图去哪里看？,纸白银价格走势图哪里有？,1,147960,174757
201212,梨花头适合染什么颜色,梨花头适合什么颜色,1,22351,218161
201213,谁知道这个表情叫什么名字？,谁知道这个表情包的名字？…,1,84922,40448
201214,上海骨科医院哪家好？,骨科医院上海哪家好？,1,39980,3435
201217,关于魔法城堡的歌词,魔法的城堡歌词,1,30417,3731
201218,哪里有解码器下载？,从哪里下载解码器啊？,1,118777,193423
201220,什么美国大片好看,有什么美国大片好看的,1,142079,149240
201221,毕业时最适合唱什么歌？,有什么歌适合毕业分别时候唱,1,82652,109999
201225,淘宝店铺如何增加流量？,如何增加淘宝店铺的流量？,1,5455,217802
201227,额头高的人适合什么发型,长额头适合什么发型,1,79560,34430
201233,周大福钻戒怎么样？周大福钻戒价格？,"周大福钻戒价格,周大福钻戒怎么样?",1,129051,166083
201236,脸上长痔是什么的预兆？就是小黑点,脸上不断长小黑点是什么情况？,1,48531,101373
201237,淘宝会员名可以修改吗？,淘宝会员名能修改吗？,1,70362,88876
201238,有什么好玩的网游私服,啊有什么好玩的私服游戏,1,218760,160111
201239,帮忙取个好听的公司名字？,请大家帮忙取个好的公司名字,1,232578,97467
201240,跪求小沢アリス全部合集,跪求小沢アリス合集,1,46665,97672
201241,凤凰传奇的名字叫什么,凤凰传奇叫什么名字,1,213159,188030
201244,驾照扣分问题，懂的进,驾照扣分问题？,1,145840,190256
201245,广州有什么特产？,广州的特产是什么,1,5423,57909
201246,南瓜怎么做好吃,南瓜花怎样做好吃,1,191132,86510
201247,矗立的近义词是什么,矗立近义词是什么,1,139072,82363
201250,矜持是什么意思,矜持的意思是什么,1,31333,228794
201255,有什么好看的僵尸电影啊？,有什么好看的僵尸电影,1,168090,117832
201259,求百度云资源，求分享？,求百度云分享资源,1,79491,114966
201262,求这妹子的名字,这妹子叫什么名字！,1,138326,7950
201270,如果没有其他问题，就先不打扰您了，祝你生活愉快，再见^_^,亲，新年快乐，新年新气象，发大财，愿您生活幸福！^_^、,1,204987,152125
201271,推荐一些好看的韩剧好吗,有好看的韩剧吗？推荐下},1,17975,52681
201272,怎么可以把脸上的痘痘去掉呢,怎么样能把脸上的痘痘去掉,1,151636,204109
201274,求此动态图出处啊,求此动态图出处,1,77701,92645
201275,谁有吴启华版倚天屠龙记全集。国语粤语都可以。,倚天屠龙记吴启华版！谁有全集发一下,1,75155,33509
201277,手表电池怎么换？,手表怎么换电池,1,131020,85163
201278,宝宝毛线鞋怎么织,怎样用毛线做宝宝鞋,1,33748,3011
201280,倪萍怎么这么老,倪萍的脸怎么了,1,213409,71538
201281,求此图的出处动漫,求此动漫图的出处,1,188444,206334
201282,图形的旋转由什么所决定,圆锥可以看作是由什么图形绕其一边旋转成的,1,63191,135300
201286,如何拥有超能力,怎么才能拥有超能力，,1,103850,73403
201287,怎么才能扩展手机运行内存？,手机怎么扩展运行内存,1,196331,128293
201290,中山有大的服装批发市场吗？,在中山有服装批发市场吗？,1,78630,11270
201293,问男生你们都喜欢女生什么发型？,男生喜欢女生什么发型啊？,1,244754,91371
201294,去哪个网站买正品化妆品？,化妆品在哪个网站买是正品,1,200083,178771
201295,谁知道这衣服是什么牌子的？,谁知道这个衣服是什么牌子？,1,74045,122008
201296,怎样炒米粉好吃,炒米粉怎样炒好吃？,1,241897,16539
201299,识别用户证件号未满16周岁，不支持认证。告知需年满16周岁。,识别用户证件号未满16周岁，不支持认证。告知用户需年满16周岁。,1,136115,69293
201300,电影动画片哪个好看,有哪些电影动画片好看,1,177645,83760
201301,谁有好看的情侣头像,情侣头像，谁有好看的,1,202789,46724
201302,怀孕有什么特征,刚怀孕有什么特征？,1,133618,10665
201305,怎样玩悄悄话,怎么才能发悄悄话？,1,149151,132782
201306,五十度灰电影,电影五十度灰,1,146236,71916
201307,我的美女老板电视剧版,我的美女老板电视剧版哪里能看啊,1,128045,193038
201309,求悲伤点的歌,求最悲伤的歌,1,84897,182763
201311,为什么微信钱包有的银行卡不能提现,为什么微信钱包里的钱提现不了,1,81531,218058
201312,为什么电视机没有声音,电视机突然没声音了是为什么,1,71146,86025
201313,天天酷跑怎样才能得高分,天天酷跑怎样才能跑高分,1,199120,158050
201314,这是什么字体，急求啊,急求，这是什么字体。,1,31872,23025
201316,有什么好看抗日战争电视剧,有什么电视剧好看的抗日战争片,1,96003,185870
201317,蓝牙耳机如何连接电脑？,蓝牙耳机怎么能连接电脑,1,53129,68068
201318,想买手机，上哪个网站好？,去哪个网站买手机靠谱,1,47718,164261
201320,公交卡可以在网上充值吗？,公交卡充值可以网上充吗,1,116438,30571
201321,苹果手机好不好,苹果手机好不好用，,1,105069,28259
201322,求这种表情,这种表情叫什么名,1,135509,183051
201324,该怎么写关于过年的作文？,作文是过年怎么写,1,169849,84854
201325,浙江有什么地方好玩？,浙江有什么好玩的地方？,1,4095,39652
201326,谁知道她是谁么?动漫人物,她是那个动漫人物，只要名字,1,70042,8544
201327,怎样辨别奇迹面膜真假,怎么去辨别奇迹面膜的真假,1,140150,131785
201328,周杰伦结婚没有,周杰伦结婚了没有,1,173012,61889
201330,属羊和什么属相不合,属羊的跟什么属相不合,1,30113,159057
201332,世界上每个国家的首都都是哪？,世界上的各个国家的首都是什么?,1,233743,176855
201336,一首粤语歌！,一首粤语歌，女的唱的,1,83415,206212
201338,捷豹是哪个国家的牌子.,捷豹和陆虎是哪个国家生产的,1,19330,5457
201340,请问这图片出自那里？,请问这些图片出自哪里,1,9473,206411
201341,看门狗用这个配置行吗,我这配置能玩看门狗吗,1,110244,208603
201344,什么意思的近义词,意思的近义词是什么,1,73536,233624
201346,穿越火线怎么踏空跳,穿越火线踏空跳怎么操作,1,91528,1420
201347,难溶于稀硝酸的白色沉淀是什么！,难溶于稀硝酸的白色沉淀有什么？,1,219119,51401
201348,谁能告诉我这电影的名字？,谁告诉我这个电影的名字吖}},1,9616,55290
201350,大便出血是什么原因？,拉大便出血是什么原因,1,144410,114572
201351,通灵珠宝得总部在哪里。？,通灵珠宝总部在哪里？,1,112306,243892
201353,请问这个清纯美女是谁啊？,这个清纯美女的是谁？,1,116177,238274
201354,这个图片是哪部电视剧的吗？还是哪部电影？,这图片是什么电影还是电视剧？,1,81120,130619
201355,初期怀孕有什么特征,怀孕初期有什么特点,1,7144,210552
201358,求这张图片的情侣图。,求这张图的情侣图片,1,55547,84072
201362,周末去哪约会好？,周末约会去哪玩,1,9839,23868
201364,这狗是什么品种,这狗是啥品种的？,1,182995,15737
201365,鹤壁市在哪个省？,鹤壁市归哪个省,1,172032,143782
201370,什么银行的信用卡最好,什么银行信用卡最好用,1,182409,45273
201373,宅在家里能做什么工作呢,在家里能做啥工作？,1,2449,210622
201374,酒红色配什么颜色好看,酒红色搭配什么颜色好看,1,152830,111881
201375,文天祥是哪个朝代的？,文天祥是哪个朝代戚继光又是哪个朝代.,1,70727,80690
201377,那里有充值软件购买,在哪里购买充值软件？,1,120458,164353
201378,网购会有假货吗？,网购有假货么,1,1425,120523
201379,大学生兼职做什么好啊？,大学生兼职做什么好呢?,1,54127,31161
201381,使徒行者大结局几点,使徒行者今晚几点大结局,1,192635,159145
201385,这是那部动漫里的图,这是那部动漫里的,1,63530,105677
201386,腱鞘炎怎么治疗,腱鞘炎怎么治疗啊,1,24050,139695
201387,古代穿越到现代小说,从古代穿越现代的魂穿小说！,1,149446,17442
201391,星座到底是按阴历算还是阳历算,看星座，到底是阳历还是阴历？,1,179249,225029
201392,海口有哪些好玩的地方呢？,海口有哪些有好吃的好玩的地方,1,214629,168588
201393,日语中，“可爱”怎么写？,日语可爱怎么写,1,46646,216636
201394,所有女明星里谁最漂亮？,女明星中谁最漂亮,1,50885,20672
201400,求一本都市异能系小说,求一本都市异能小说,1,100973,184381
201401,老人祝寿送什么？,老人祝寿送什么好,1,85198,138793
201402,求美女图片…,有美女图片吗,1,50516,147366
201403,这个表情什么意思？,这个表情是什么意思,1,394,132090
201405,图片这个狗叫什么名字？,图片中的狗叫什么名字,1,168091,109219
201406,电动车丢了能找回吗,电动车偷了能找回吗,1,131621,130145
201408,有关会计证的问题,关于会计证的问题,1,188767,87383
201409,滴滴打车要怎么付款,滴滴打车怎么用，什么时候付款？,1,180885,142465
201410,我这配置能玩幻想神域吗？,这配置能玩幻想神域么？,1,169978,48775
201411,死亡笔记的真人版全集去哪看,死亡笔记真人版全集,1,166839,227943
201413,什么牌子的鞋子比较好？,现在的鞋子什么牌子的好一点,1,153931,77629
201419,韩国那个女主播叫什么,这个韩国女主播叫什么,1,45656,231244
201420,请问您是想修改您的这个支付宝的绑定手机号吗？,您好，您是要修改支付宝绑定的手机号吗?,1,95492,131896
201421,形容人不知好歹的句子,形容不知好歹的人句子,1,51130,159035
201422,旧上海的霞飞路是指现在的？,老上海的霞飞路现在叫什么路？,1,201862,142773
201423,亲，这是哪个电影上的图片,这是图片是什么电影的,1,120266,117380
201429,怎样对付婆婆,怎么对付婆婆,1,28815,61998
201431,使徒行者插曲叫什么,使徒行者插曲是什么,1,171538,197207
201433,谁能告诉我图片中的人是谁?,谁能告诉我她是谁。图片里的人,1,111356,65487
201434,如何长胖一点!,如何长胖一点,1,132206,201510
201437,玄幻修真小说，完结的,玄幻修真完结小说,1,33549,13223
201439,黛莱美面膜怎么样？,黛莱美面膜怎么样？贵吗？,1,85091,167345
201440,什么电影最恐怖了,什么电影最恐怖,1,130799,167795
201441,这是什么牌子的汽车？,这是什么牌子汽车？,1,70168,45911
201444,冬至吃什么馅的饺子,冬至吃什么馅的饺子啊,1,89637,24107
201446,哪个学校最适合我？,哪个学校啊适合我,1,16585,4377
201449,河南人为什么要偷井盖,河南人为什么偷井盖？,1,17802,81809
201450,女人在什么时候最想插,女人什么时候最想爱爱,1,196730,85529
201453,螺旋藻什么牌子的好?,螺旋藻片什么牌子的好,1,93283,133803
201457,时空猎人怎么刷魔晶和金币,时空猎人金币和魔晶怎么刷,1,159546,23555
201460,我的女朋友为什么最近不理我,为什么我女朋友，最近不理我了。我该怎么办,1,194315,239366
201468,如何保持年轻?,怎么保持年轻呢,1,142530,31026
201470,求电影阳光姐妹淘完整版,求《阳光姐妹淘》电影完整版,1,211258,98055
201471,顺产还是剖腹产？,顺产好还是剖腹产好,1,75957,140526
201474,哪个国家的咖啡是最好的,哪个国家的咖啡最好？,1,136286,40468
201478,裤子买什么牌子的好,什么牌子的裤子好,1,225265,119387
201479,电脑主题在哪里下载。,在哪里下载电脑主题比较好,1,163613,123984
201481,怎么打蝴蝶结图解,蝴蝶结怎么打图解,1,62419,19214
201484,也是在线客服的哦,也是在线客服的噢,1,53567,123946
201485,怎样生龙凤胎,如何生龙凤胎？,1,54428,187674
201486,取服装店名,起服装店名！,1,215839,9200
201490,电热毯什么牌子的好,什么牌子的电热毯好？,1,100578,12341
201491,怎样切洋葱不辣眼睛,切洋葱如何才能不辣眼睛,1,182347,47009
201493,天龙八部3怎么做手工装备,天龙八部3怎么做手工,1,155263,156954
201496,神犬奇兵步枪是什么犬,神犬奇兵中步枪是什么狗,1,60842,53562
201497,怎么买到打折的机票？,怎么才能买到打折机票,1,50916,236557
201498,汐之挚爱是什么意思,挚爱是什么意思,1,37872,138067
201501,勒布朗詹姆斯,勒布朗詹姆斯群,1,35572,22988
201502,网上订火车票怎么退票,火车票网上怎么退票,1,194062,159652
201504,如何在网上买飞机票,怎样在网上买飞机票,1,8740,167840
201505,这图片里紫色的是什么花？,图片中紫色的花是什么花？,1,41794,89385
201506,如何向日本捐款,怎么给日本捐款,1,76125,217772
201510,白耳机脏了，怎么办，怎么清洗？,耳机脏了怎么清洗,1,237744,24974
201512,春天是什么样子的,春天是什么样子,1,232132,156219
201521,求刀剑神域高清壁纸,求这个刀剑神域的高清壁纸,1,38936,181706
201523,无精打采的动物是什么生肖？,欲钱买无精打采的动物是什么生肖,1,203653,65723
201524,天津的容先生夫妻肺片怎么加盟？,在天津怎么加盟容先生夫妻肺片,1,95120,32198
201525,女人为什么要穿高跟鞋,为什么女生要穿高跟鞋,1,156862,72155
201526,很抱歉给您带来不便了，辛苦您等待一下了,真的很抱歉给您带来的不便了，辛苦您再等待下,1,12583,188449
201527,痱子和湿疹的区别是什么呢,痱子和湿疹的区别是什么，求分享,1,39570,86104
201528,具体的建议您等待邮件或者短信的通知的，辛苦您了,具体结果辛苦您等待下邮件或者短信通知，麻烦您了。,1,111463,189532
201529,如何给公司取英文名,如何起公司英文名,1,215278,212254
201530,要知道关于冬天的成语有哪些,描写冬天的成语有哪些(至少4个),1,234926,196987
201531,哪里的袜子批发便宜？,哪里批发袜子便宜,1,211876,229156
201535,这乌龟是什么种类的啊?,请问这乌龟是什么品种,1,2935,117265
201536,怎样化妆才好看啊,怎样化妆好看点,1,171425,198016
201540,坐月子能贴面膜吗？,坐月子可以贴面膜吗？,1,124168,22577
201543,谢文东全集电视剧哪里可以看,谢文东电视剧哪里可以看全集,1,36633,149542
201547,关于交通事故,交通事故被讹钱,1,193359,131693
201549,图片上的字体是什么字体哇,图片中的字体用的是什么字体？,1,237348,89020
201552,送女朋友什么生日礼物？,送女朋友什么生日礼物好？,1,181709,30400
201553,为什么现在女人那么容易出轨？,为什么现在的女人很容易出轨,1,82811,26380
201554,求这部电视剧的名字。,求这部电视剧叫什么名字,1,183267,58999
201555,显示不了移动硬盘盘符,移动硬盘无法显示盘符,1,27,184684
201556,冬天摆地摊，什么货最好买，,冬天，摆地摊卖什么最好？,1,148325,221551
201559,【历史】这是什么啊,【历史】这是什么仦品,1,183202,112082
201560,这个表情的名字,求这个表情包的名字,1,67364,106814
201561,好看的灾难片都有什么,什么灾难片好看,1,13618,211689
201563,坏蛋是怎样炼成的电视剧哪里能看,电视剧坏蛋是怎样炼成的哪里能看,1,56306,110771
201564,我自横刀向天笑的下一句是什么？,求我自横刀向天笑的下一句,1,220043,131710
201565,怎么去掉视频中的广告,如何去掉视频上的广告,1,112989,73266
